total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
419.0,491.0,223.0,197.0,366.0,1.0,0.0,1.0,1.0,1.0,0.0,Saint-Jean-Saint-Nicolas (05260),/management/ville/saint-jean-saint-nicolas/ville-05145
251.0,45.0,89.0,162.0,214.0,1.0,0.0,0.0,1.0,1.0,0.0,Fontaine-Mâcon (10400),/management/ville/fontaine-macon/ville-10153
247.0,177.0,134.0,113.0,214.0,1.0,0.0,0.0,1.0,1.0,0.0,Marcolès (15220),/management/ville/marcoles/ville-15117
516.0,356.0,267.0,249.0,464.0,1.0,0.0,1.0,1.0,1.0,0.0,Cénac-et-Saint-Julien (24250),/management/ville/cenac-et-saint-julien/ville-24091
46.0,56.0,22.0,24.0,38.0,,,,,,,Chamberaud (23480),/management/ville/chamberaud/ville-23043
94.0,47.0,34.0,60.0,87.0,1.0,1.0,1.0,0.0,0.0,0.0,Ouilly-du-Houley (14590),/management/ville/ouilly-du-houley/ville-14484
649.0,987.0,402.0,247.0,437.0,10.0,1.0,10.0,11.0,7.0,4.0,Castellane (04120),/management/ville/castellane/ville-04039
418.0,132.0,164.0,254.0,361.0,1.0,0.0,0.0,1.0,0.0,1.0,La Chapelaude (03380),/management/ville/la-chapelaude/ville-03055
95.0,37.0,33.0,62.0,92.0,,,,,,,Vernoux (01560),/management/ville/vernoux/ville-01433
123.0,95.0,60.0,64.0,105.0,,,,,,,Antugnac (11190),/management/ville/antugnac/ville-11010
215.0,64.0,84.0,131.0,186.0,1.0,0.0,1.0,3.0,3.0,0.0,Épaux-Bézu (02400),/management/ville/epaux-bezu/ville-02279
784.0,99.0,276.0,508.0,734.0,4.0,0.0,8.0,9.0,2.0,7.0,Château-Gaillard (01500),/management/ville/chateau-gaillard/ville-01089
152.0,107.0,95.0,57.0,114.0,1.0,0.0,0.0,1.0,0.0,1.0,Recey-sur-Ource (21290),/management/ville/recey-sur-ource/ville-21519
333.0,61.0,109.0,224.0,282.0,1.0,0.0,2.0,1.0,1.0,0.0,Jauldes (16560),/management/ville/jauldes/ville-16168
109.0,48.0,66.0,43.0,61.0,,,,,,,Raissac-d'Aude (11200),/management/ville/raissac-d-aude/ville-11307
152.0,45.0,60.0,91.0,148.0,1.0,0.0,0.0,1.0,1.0,0.0,Chamouillac (17130),/management/ville/chamouillac/ville-17081
66.0,31.0,44.0,22.0,46.0,1.0,0.0,0.0,1.0,1.0,0.0,Saint-Lambert-et-Mont-de-Jeux (08130),/management/ville/saint-lambert-et-mont-de-jeux/ville-08384
103.0,63.0,64.0,39.0,92.0,1.0,0.0,0.0,2.0,2.0,0.0,Belleville-et-Châtillon-sur-Bar (08240),/management/ville/belleville-et-chatillon-sur-bar/ville-08057
128.0,111.0,61.0,67.0,117.0,1.0,1.0,0.0,4.0,1.0,3.0,Saint-Bouize (18300),/management/ville/saint-bouize/ville-18200
1355.0,181.0,586.0,768.0,1280.0,1.0,0.0,1.0,1.0,1.0,0.0,Olemps (12510),/management/ville/olemps/ville-12174
95.0,22.0,41.0,54.0,78.0,1.0,0.0,0.0,1.0,1.0,0.0,Bernières-d'Ailly (14170),/management/ville/bernieres-d-ailly/ville-14064
91.0,24.0,26.0,65.0,72.0,1.0,0.0,0.0,1.0,0.0,1.0,Parcy-et-Tigny (02210),/management/ville/parcy-et-tigny/ville-02585
8316.0,3156.0,5117.0,3200.0,6850.0,37.0,1.0,29.0,45.0,19.0,26.0,Lannion (22300),/management/ville/lannion/ville-22113
49.0,26.0,18.0,31.0,33.0,2.0,0.0,1.0,3.0,1.0,2.0,Mérigon (09230),/management/ville/merigon/ville-09190
268.0,46.0,95.0,173.0,222.0,1.0,0.0,1.0,1.0,1.0,0.0,Glun (07300),/management/ville/glun/ville-07097
120.0,52.0,60.0,59.0,101.0,1.0,0.0,0.0,1.0,1.0,0.0,Saint-Quantin-de-Rançanne (17800),/management/ville/saint-quantin-de-rancanne/ville-17388
78.0,94.0,33.0,45.0,67.0,1.0,0.0,1.0,2.0,2.0,0.0,Saint-Hilaire-les-Courbes (19170),/management/ville/saint-hilaire-les-courbes/ville-19209
19.0,14.0,7.0,12.0,14.0,,,,,,,Cussy-la-Colonne (21360),/management/ville/cussy-la-colonne/ville-21221
110.0,100.0,46.0,64.0,85.0,1.0,0.0,1.0,1.0,0.0,1.0,Saint-Laurent-la-Vallée (24170),/management/ville/saint-laurent-la-vallee/ville-24438
69.0,107.0,38.0,31.0,45.0,1.0,0.0,1.0,1.0,1.0,0.0,Saint-Julien-en-Beauchêne (05140),/management/ville/saint-julien-en-beauchene/ville-05146
32.0,9.0,12.0,20.0,19.0,,,,,,,Fontenay-de-Bossery (10400),/management/ville/fontenay-de-bossery/ville-10154
295.0,145.0,136.0,159.0,226.0,1.0,0.0,1.0,2.0,2.0,0.0,Marmanhac (15250),/management/ville/marmanhac/ville-15118
32.0,43.0,16.0,15.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,Chambon-Sainte-Croix (23220),/management/ville/chambon-sainte-croix/ville-23044
172.0,23.0,75.0,97.0,148.0,1.0,0.0,1.0,1.0,0.0,1.0,Chalagnac (24380),/management/ville/chalagnac/ville-24094
